Linux 3.19.5-200.fc21.x86_64 (bark) 	07/25/2015 	_x86_64_	(8 CPU)

12:11:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:14:30 AM    4    1.32    0.00   33.81    0.00    0.00    4.16    0.00   37.46    0.00   23.25
12:14:30 AM    5    1.33    0.00   38.16    0.00    0.00    4.90    0.00   31.33    0.00   24.29
12:14:30 AM    6    1.43    0.00   35.01    0.00    0.00    4.61    0.00   36.23    0.00   22.72
12:14:30 AM    7    1.42    0.00   34.79    0.00    0.00    3.87    0.00   40.59    0.00   19.33

12:14:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:14:40 AM  all    1.31    0.00   35.50    0.04    0.00    4.30    0.00   34.45    0.00   24.40
12:14:40 AM    0    1.33    0.00   33.98    0.00    0.00    3.98    0.00   35.71    0.00   25.00
12:14:40 AM    1    1.12    0.00   36.06    0.00    0.00    4.09    0.00   31.77    0.00   26.97
12:14:40 AM    2    1.23    0.00   36.40    0.31    0.00    5.11    0.00   27.20    0.00   29.75
12:14:40 AM    3    1.53    0.00   34.73    0.00    0.00    3.87    0.00   34.62    0.00   25.25
12:14:40 AM    4    1.52    0.00   35.25    0.00    0.00    4.55    0.00   35.66    0.00   23.03
12:14:40 AM    5    1.21    0.00   34.01    0.00    0.00    3.53    0.00   43.69    0.00   17.56
12:14:40 AM    6    1.22    0.00   35.19    0.00    0.00    4.77    0.00   34.28    0.00   24.54
12:14:40 AM    7    1.23    0.00   38.34    0.00    0.00    4.60    0.00   32.41    0.00   23.42

12:14:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:14:50 AM  all    1.27    0.00   35.47    0.00    0.00    4.15    0.00   34.55    0.00   24.55
12:14:50 AM    0    1.33    0.00   36.33    0.00    0.00    4.08    0.00   28.98    0.00   29.29
12:14:50 AM    1    1.52    0.00   31.48    0.10    0.00    2.94    0.00   40.38    0.00   23.58
12:14:50 AM    2    1.33    0.00   37.89    0.00    0.00    5.54    0.00   25.87    0.00   29.36
12:14:50 AM    3    1.32    0.00   35.95    0.00    0.00    3.87    0.00   32.79    0.00   26.07
12:14:50 AM    4    1.01    0.00   37.93    0.00    0.00    4.67    0.00   32.45    0.00   23.94
12:14:50 AM    5    1.23    0.00   34.53    0.00    0.00    4.09    0.00   38.41    0.00   21.76
12:14:50 AM    6    1.42    0.00   35.61    0.00    0.00    4.27    0.00   34.89    0.00   23.80
12:14:50 AM    7    1.12    0.00   34.11    0.00    0.00    3.67    0.00   42.57    0.00   18.53

12:14:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:15:00 AM  all    1.30    0.00   35.91    0.01    0.00    4.23    0.00   34.40    0.00   24.15
12:15:00 AM    0    1.22    0.00   33.74    0.00    0.00    4.69    0.00   34.56    0.00   25.79
12:15:00 AM    1    1.32    0.00   37.13    0.00    0.00    3.56    0.00   34.89    0.00   23.09
12:15:00 AM    2    1.32    0.00   34.62    0.00    0.00    4.35    0.00   29.66    0.00   30.06
12:15:00 AM    3    1.02    0.00   38.20    0.00    0.00    4.29    0.00   30.23    0.00   26.25
12:15:00 AM    4    1.22    0.00   36.25    0.00    0.00    4.28    0.00   37.68    0.00   20.57
12:15:00 AM    5    1.53    0.00   37.28    0.10    0.00    4.29    0.00   33.40    0.00   23.39
12:15:00 AM    6    1.32    0.00   34.79    0.00    0.00    4.06    0.00   39.96    0.00   19.88
12:15:00 AM    7    1.22    0.00   35.20    0.00    0.00    4.37    0.00   34.89    0.00   24.31

12:15:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:15:10 AM  all    1.34    0.00   35.75    0.00    0.00    4.33    0.00   34.71    0.00   23.88
12:15:10 AM    0    1.43    0.00   35.28    0.00    0.00    3.07    0.00   33.44    0.00   26.79
12:15:10 AM    1    1.02    0.00   36.91    0.00    0.00    5.73    0.00   25.97    0.00   30.37
12:15:10 AM    2    1.22    0.00   37.73    0.00    0.00    4.26    0.00   31.24    0.00   25.56
12:15:10 AM    3    1.43    0.00   33.37    0.00    0.00    3.67    0.00   39.69    0.00   21.84
12:15:10 AM    4    1.33    0.00   37.35    0.00    0.00    3.57    0.00   37.14    0.00   20.61
12:15:10 AM    5    1.53    0.00   35.10    0.00    0.00    4.59    0.00   36.53    0.00   22.24
12:15:10 AM    6    1.32    0.00   36.17    0.00    0.00    4.76    0.00   35.16    0.00   22.59
12:15:10 AM    7    1.63    0.00   34.05    0.00    0.00    4.99    0.00   38.33    0.00   21.00

12:15:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:15:20 AM  all    1.34    0.00   35.58    0.00    0.00    4.29    0.00   34.67    0.00   24.12
12:15:20 AM    0    1.12    0.00   36.70    0.00    0.00    4.08    0.00   33.74    0.00   24.36
12:15:20 AM    1    1.22    0.00   33.57    0.00    0.00    2.85    0.00   39.47    0.00   22.89
12:15:20 AM    2    1.32    0.00   34.25    0.00    0.00    3.65    0.00   35.46    0.00   25.33
12:15:20 AM    3    1.23    0.00   36.31    0.00    0.00    4.62    0.00   31.18    0.00   26.67
12:15:20 AM    4    1.22    0.00   36.04    0.00    0.00    5.28    0.00   35.13    0.00   22.34
12:15:20 AM    5    1.62    0.00   33.40    0.00    0.00    3.65    0.00   38.98    0.00   22.34
12:15:20 AM    6    1.32    0.00   36.05    0.00    0.00    4.38    0.00   35.03    0.00   23.22
12:15:20 AM    7    1.23    0.00   38.38    0.00    0.00    5.83    0.00   28.56    0.00   26.00

12:15:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:15:30 AM  all    1.35    0.00   35.48    0.04    0.00    4.30    0.00   34.64    0.00   24.19
12:15:30 AM    0    1.23    0.00   39.26    0.10    0.00    5.32    0.00   24.44    0.00   29.65
12:15:30 AM    1    1.12    0.00   41.33    0.00    0.00    5.00    0.00   23.27    0.00   29.29
12:15:30 AM    2    1.62    0.00   34.48    0.00    0.00    3.04    0.00   37.53    0.00   23.33
12:15:30 AM    3    1.42    0.00   30.08    0.20    0.00    3.96    0.00   40.45    0.00   23.88
12:15:30 AM    4    1.33    0.00   38.85    0.00    0.00    6.03    0.00   28.53    0.00   25.26
12:15:30 AM    5    1.44    0.00   39.61    0.00    0.00    5.86    0.00   24.28    0.00   28.81
12:15:30 AM    6    1.53    0.00   30.93    0.00    0.00    2.34    0.00   48.12    0.00   17.09
12:15:30 AM    7    1.61    0.00   29.44    0.00    0.00    3.02    0.00   49.70    0.00   16.23

12:15:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:15:40 AM  all    1.31    0.00   35.83    0.00    0.00    4.26    0.00   34.54    0.00   24.06
12:15:40 AM    0    1.33    0.00   32.86    0.00    0.00    3.47    0.00   38.98    0.00   23.37
12:15:40 AM    1    1.13    0.00   37.81    0.00    0.00    5.12    0.00   27.56    0.00   28.38
12:15:40 AM    2    1.43    0.00   35.21    0.00    0.00    4.20    0.00   34.29    0.00   24.87
